epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
,0.001,0,,,,,,,,,
0,,9,,773.154052734375,,-5.942378997802734,,27.421499252319336,,,
0,,19,,860.5675659179688,,-6.936501502990723,,28.986248016357422,,,
0,,29,,791.7222290039062,,-6.200458526611328,,27.79507064819336,,,
0,,39,,780.20703125,,-7.352110862731934,,27.658374786376953,,,
0,,49,,643.3639526367188,,-5.42202091217041,,25.07712173461914,,,
0,,59,,691.1385498046875,,-7.2300567626953125,,25.888891220092773,,,
0,,69,,734.295654296875,,-7.704235553741455,,26.81102180480957,,,
0,,73,,,,,,,701.665283203125,-7.1633501052856445,26.151308059692383
0,,73,738.967041015625,,-7.357847213745117,,26.83230972290039,,,,
,0.001,74,,,,,,,,,
1,,79,,712.4384155273438,,-4.857564449310303,,26.351985931396484,,,
1,,89,,706.835205078125,,-8.033817291259766,,26.31009292602539,,,
1,,99,,740.4833984375,,-7.047529220581055,,26.932723999023438,,,
1,,109,,585.6880493164062,,-4.94521427154541,,23.90863609313965,,,
1,,119,,696.8013916015625,,-7.136395454406738,,26.087677001953125,,,
1,,129,,670.9837646484375,,-7.366275310516357,,25.560791015625,,,
1,,139,,750.1815795898438,,-7.450148105621338,,27.09275245666504,,,
1,,147,,,,,,,670.1190795898438,-6.788931846618652,25.5490665435791
1,,147,704.8541259765625,,-6.967440605163574,,26.193130493164062,,,,
,0.001,148,,,,,,,,,
2,,149,,596.7676391601562,,-5.6906256675720215,,24.132850646972656,,,
2,,159,,747.4285888671875,,-5.914443016052246,,26.98421859741211,,,
2,,169,,688.4512329101562,,-5.502774238586426,,25.930904388427734,,,
2,,179,,647.362548828125,,-6.617373943328857,,25.161605834960938,,,
2,,189,,650.7086181640625,,-6.246401786804199,,25.19656753540039,,,
2,,199,,652.9544677734375,,-7.29824161529541,,25.13775634765625,,,
2,,209,,714.5863037109375,,-7.290266990661621,,26.37322235107422,,,
2,,219,,625.4547119140625,,-6.893416404724121,,24.6529541015625,,,
2,,221,,,,,,,618.914794921875,-6.177474021911621,24.53421974182129
2,,221,654.4381713867188,,-6.311056613922119,,25.213972091674805,,,,
,0.001,222,,,,,,,,,
3,,229,,527.5238037109375,,-4.5678253173828125,,22.623638153076172,,,
3,,239,,602.0465087890625,,-6.221217155456543,,24.23464584350586,,,
3,,249,,607.049072265625,,-5.167519569396973,,24.26642608642578,,,
3,,259,,512.0042724609375,,-4.480063438415527,,22.29378318786621,,,
3,,269,,633.46533203125,,-6.596479415893555,,24.79117774963379,,,
3,,279,,516.7232055664062,,-6.235678672790527,,22.415103912353516,,,
3,,289,,507.678955078125,,-5.219687461853027,,22.22713851928711,,,
3,,295,,,,,,,541.8843994140625,-5.262768268585205,22.9237117767334
3,,295,596.5047607421875,,-5.6501078605651855,,24.04239273071289,,,,
,0.001,296,,,,,,,,,
4,,299,,461.67706298828125,,-4.833878517150879,,21.214298248291016,,,
4,,309,,634.1278076171875,,-4.738418102264404,,24.800884246826172,,,
4,,319,,505.54443359375,,-4.456561088562012,,22.15357780456543,,,
4,,329,,535.2548828125,,-4.576198577880859,,22.73278045654297,,,
4,,339,,548.69921875,,-6.310675144195557,,23.086748123168945,,,
4,,349,,435.12652587890625,,-3.784885883331299,,20.49488067626953,,,
4,,359,,551.0806274414062,,-6.053670406341553,,23.108476638793945,,,
4,,369,,635.6875610351562,,-9.123552322387695,,24.848424911499023,,,
4,,369,,,,,,,487.2879333496094,-4.608485221862793,21.709667205810547
4,,369,529.9337768554688,,-4.933996200561523,,22.63007926940918,,,,
,0.001,370,,,,,,,,,
5,,379,,440.955322265625,,-4.363641262054443,,20.66928482055664,,,
5,,389,,426.3837585449219,,-4.994425296783447,,20.31310272216797,,,
5,,399,,479.0098571777344,,-3.2473669052124023,,21.466167449951172,,,
5,,409,,425.5729064941406,,-3.0595459938049316,,20.226512908935547,,,
5,,419,,409.9434814453125,,-4.016941070556641,,19.8748836517334,,,
5,,429,,421.6866149902344,,-2.1620984077453613,,20.179054260253906,,,
5,,439,,443.94500732421875,,-3.026172399520874,,20.64676284790039,,,
5,,443,,,,,,,430.41802978515625,-3.923002004623413,20.358333587646484
5,,443,454.4960632324219,,-4.021349906921387,,20.906171798706055,,,,
,0.001,444,,,,,,,,,
6,,449,,481.5636901855469,,-4.276828765869141,,21.52688980102539,,,
6,,459,,367.6847839355469,,-3.118655204772949,,18.790283203125,,,
6,,469,,372.77667236328125,,-2.8955893516540527,,18.908411026000977,,,
6,,479,,356.99755859375,,-3.1744093894958496,,18.590190887451172,,,
6,,489,,356.557373046875,,-2.5231573581695557,,18.459640502929688,,,
6,,499,,351.0222473144531,,-3.0756430625915527,,18.292695999145508,,,
6,,509,,300.4731750488281,,-2.1968789100646973,,16.88034439086914,,,
6,,517,,,,,,,322.3880615234375,-2.6307082176208496,17.514114379882812
6,,517,374.4567565917969,,-3.152313709259033,,18.88924789428711,,,,
,0.001,518,,,,,,,,,
7,,519,,347.8057861328125,,-2.3265938758850098,,18.24837875366211,,,
7,,529,,359.58404541015625,,-1.8088185787200928,,18.4384765625,,,
7,,539,,312.6206970214844,,-3.795485019683838,,17.330337524414062,,,
7,,549,,317.0730285644531,,-1.8301260471343994,,17.28949546813965,,,
7,,559,,343.76654052734375,,-2.6205620765686035,,18.104652404785156,,,
7,,569,,388.9439697265625,,-3.8169169425964355,,19.270654678344727,,,
7,,579,,200.70159912109375,,-2.1779637336730957,,13.752187728881836,,,
7,,589,,222.81393432617188,,-1.2071113586425781,,14.520998001098633,,,
7,,591,,,,,,,257.0579833984375,-1.8603205680847168,15.543460845947266
7,,591,298.45208740234375,,-2.247337818145752,,16.76873016357422,,,,
,0.001,592,,,,,,,,,
8,,599,,198.57467651367188,,-1.261451005935669,,13.706164360046387,,,
8,,609,,272.74310302734375,,-1.8937609195709229,,16.001453399658203,,,
8,,619,,244.82276916503906,,-1.8234102725982666,,15.124347686767578,,,
8,,629,,279.3125305175781,,-1.7857849597930908,,16.227298736572266,,,
8,,639,,222.55935668945312,,-1.3560289144515991,,14.431039810180664,,,
8,,649,,170.3809356689453,,-0.5536019206047058,,12.600141525268555,,,
8,,659,,157.68348693847656,,-0.7568855285644531,,12.113760948181152,,,
8,,665,,,,,,,185.704833984375,-1.0295227766036987,13.098487854003906
8,,665,230.8488006591797,,-1.4487063884735107,,14.646574020385742,,,,
,0.001,666,,,,,,,,,
9,,669,,217.50650024414062,,-1.387800931930542,,14.328221321105957,,,
9,,679,,237.5543975830078,,-1.4183323383331299,,14.853571891784668,,,
9,,689,,153.40313720703125,,-0.8339799642562866,,11.7957181930542,,,
9,,699,,177.74295043945312,,-0.8901000022888184,,12.726005554199219,,,
9,,709,,127.49857330322266,,-0.20942044258117676,,10.749945640563965,,,
9,,719,,130.7529296875,,-0.39566752314567566,,11.014668464660645,,,
9,,729,,129.4683837890625,,-0.6723316311836243,,10.980449676513672,,,
9,,739,,194.46913146972656,,-0.6932173371315002,,13.353361129760742,,,
9,,739,,,,,,,142.3467559814453,-0.536531388759613,11.381895065307617
9,,739,171.93630981445312,,-0.799513578414917,,12.549525260925293,,,,
,0.001,740,,,,,,,,,
10,,749,,102.40713500976562,,-0.046428948640823364,,9.602521896362305,,,
10,,759,,126.66738891601562,,-0.2405340075492859,,10.885332107543945,,,
10,,769,,127.61212921142578,,-0.5406942367553711,,10.777417182922363,,,
10,,779,,76.63561248779297,,0.0864197313785553,,8.3968505859375,,,
10,,789,,100.00599670410156,,-0.010531008243560791,,9.627206802368164,,,
10,,799,,107.72525787353516,,-0.47280752658843994,,9.873619079589844,,,
10,,809,,82.04550170898438,,0.010472238063812256,,8.666570663452148,,,
10,,813,,,,,,,96.00003051757812,-0.02081933617591858,9.253137588500977
10,,813,126.16288757324219,,-0.30652064085006714,,10.659294128417969,,,,
,0.001,814,,,,,,,,,
11,,819,,88.72595977783203,,-0.009283393621444702,,9.079090118408203,,,
11,,829,,83.94059753417969,,0.1194579005241394,,8.789545059204102,,,
11,,839,,81.01731872558594,,0.27779486775398254,,8.579447746276855,,,
11,,849,,78.92564392089844,,-0.07940039038658142,,8.435425758361816,,,
11,,859,,110.71485137939453,,-0.043211787939071655,,9.945347785949707,,,
11,,869,,142.06678771972656,,-0.3006029725074768,,11.41025161743164,,,
11,,879,,67.6141586303711,,0.3384331464767456,,7.857067108154297,,,
11,,887,,,,,,,69.1646499633789,0.26401492953300476,7.86251163482666
11,,887,93.9063491821289,,0.028212647885084152,,9.16380786895752,,,,
,0.001,888,,,,,,,,,
12,,889,,65.16230773925781,,0.2931661903858185,,7.720594882965088,,,
12,,899,,86.47361755371094,,0.2899722158908844,,8.744552612304688,,,
12,,909,,61.46400451660156,,0.394164115190506,,7.458895683288574,,,
12,,919,,67.3133316040039,,0.23307842016220093,,7.748688220977783,,,
12,,929,,47.9864501953125,,0.5302324295043945,,6.716543197631836,,,
12,,939,,62.029850006103516,,0.3794986307621002,,7.59669828414917,,,
12,,949,,74.41346740722656,,-0.041061341762542725,,8.285001754760742,,,
12,,959,,69.26728057861328,,0.20377153158187866,,7.915024757385254,,,
12,,961,,,,,,,56.855384826660156,0.3939493000507355,7.133421897888184
12,,961,72.11792755126953,,0.25424304604530334,,8.070091247558594,,,,
,0.001,962,,,,,,,,,
13,,969,,53.586875915527344,,0.4288003146648407,,7.094110012054443,,,
13,,979,,54.64614486694336,,0.41698047518730164,,7.112999439239502,,,
13,,989,,63.781959533691406,,0.18046289682388306,,7.73628568649292,,,
13,,999,,50.86580276489258,,0.33027806878089905,,6.752814769744873,,,
13,,1009,,59.560611724853516,,0.4066324532032013,,7.381313800811768,,,
