epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
,0.001,0,,,,,,,,,
0,,9,,774.5130004882812,,-8.543998718261719,,27.51634979248047,,,
0,,19,,760.7461547851562,,-5.90521764755249,,27.271818161010742,,,
0,,29,,797.789306640625,,-5.213170051574707,,27.789432525634766,,,
0,,39,,662.4022216796875,,-9.963899612426758,,25.492074966430664,,,
0,,49,,691.7054443359375,,-8.916297912597656,,25.98259925842285,,,
0,,59,,777.7518920898438,,-7.80763578414917,,27.530126571655273,,,
0,,69,,794.881103515625,,-7.868020057678223,,27.88132667541504,,,
0,,73,,,,,,,682.3546142578125,-6.915917873382568,25.76567840576172
0,,73,731.3692016601562,,-7.238587856292725,,26.68941879272461,,,,
,0.001,74,,,,,,,,,
1,,79,,716.74072265625,,-5.841512680053711,,26.401681900024414,,,
1,,89,,754.6148681640625,,-6.715319633483887,,27.11788558959961,,,
1,,99,,753.3651123046875,,-10.212837219238281,,27.049999237060547,,,
1,,109,,731.8284912109375,,-6.806828498840332,,26.716957092285156,,,
1,,119,,693.1350708007812,,-7.146823883056641,,25.994327545166016,,,
1,,129,,800.0889282226562,,-6.265974521636963,,27.95934295654297,,,
1,,139,,623.814208984375,,-6.855199813842773,,24.685466766357422,,,
1,,147,,,,,,,665.21337890625,-6.7189860343933105,25.438976287841797
1,,147,695.1719970703125,,-6.767042636871338,,25.998031616210938,,,,
,0.001,148,,,,,,,,,
2,,149,,643.202392578125,,-6.411357879638672,,25.038894653320312,,,
2,,159,,554.698974609375,,-5.793662071228027,,23.22484588623047,,,
2,,169,,724.1900634765625,,-7.948178291320801,,26.549301147460938,,,
2,,179,,638.5964965820312,,-4.563780307769775,,24.890323638916016,,,
2,,189,,759.0088500976562,,-6.621709823608398,,27.152389526367188,,,
2,,199,,642.3131103515625,,-6.139060020446777,,24.98361587524414,,,
2,,209,,517.699951171875,,-7.828036308288574,,22.432281494140625,,,
2,,219,,611.6068725585938,,-5.617522239685059,,24.381954193115234,,,
2,,221,,,,,,,608.1881713867188,-6.041578769683838,24.300474166870117
2,,221,646.7218627929688,,-6.257197856903076,,25.04573631286621,,,,
,0.001,222,,,,,,,,,
3,,229,,621.2709350585938,,-6.926112174987793,,24.60143280029297,,,
3,,239,,528.2144165039062,,-3.488189220428467,,22.603130340576172,,,
3,,249,,656.8221435546875,,-6.127321720123291,,25.252704620361328,,,
3,,259,,567.5632934570312,,-5.378968238830566,,23.502330780029297,,,
3,,269,,586.36669921875,,-5.275040626525879,,23.85800552368164,,,
3,,279,,546.0486450195312,,-5.9665422439575195,,23.051158905029297,,,
3,,289,,576.6353759765625,,-5.15220832824707,,23.686912536621094,,,
3,,295,,,,,,,562.1051635742188,-5.491784572601318,23.345314025878906
3,,295,590.1449584960938,,-5.621984004974365,,23.898162841796875,,,,
,0.001,296,,,,,,,,,
4,,299,,611.0936279296875,,-4.723631858825684,,24.354663848876953,,,
4,,309,,569.67333984375,,-5.289313316345215,,23.424880981445312,,,
4,,319,,587.988037109375,,-5.666697978973389,,23.875911712646484,,,
4,,329,,442.37530517578125,,-3.3318674564361572,,20.725391387939453,,,
4,,339,,618.5399169921875,,-4.7650885581970215,,24.4178524017334,,,
4,,349,,481.6204833984375,,-3.726351022720337,,21.533924102783203,,,
4,,359,,576.66845703125,,-5.999014377593994,,23.675785064697266,,,
4,,369,,408.86724853515625,,-4.434614658355713,,19.788711547851562,,,
4,,369,,,,,,,511.9581298828125,-4.896883010864258,22.251758575439453
4,,369,523.8192749023438,,-4.8249311447143555,,22.477163314819336,,,,
,0.001,370,,,,,,,,,
5,,379,,439.2834777832031,,-5.971531867980957,,20.614643096923828,,,
5,,389,,455.67315673828125,,-4.981833457946777,,20.984115600585938,,,
5,,399,,343.8211975097656,,-3.053152084350586,,18.170339584350586,,,
5,,409,,421.482421875,,-3.2231392860412598,,20.135526657104492,,,
5,,419,,486.036865234375,,-4.5045061111450195,,21.61919403076172,,,
5,,429,,443.37359619140625,,-2.4976987838745117,,20.558643341064453,,,
5,,439,,403.6768798828125,,-2.7823503017425537,,19.647541046142578,,,
5,,443,,,,,,,406.32672119140625,-3.637322187423706,19.752233505249023
5,,443,449.32916259765625,,-3.9643337726593018,,20.763317108154297,,,,
