epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
2,,329,,496.77947998046875,,-6.028425693511963,,22.07522201538086,,,
2,,339,,721.66650390625,,-7.861476421356201,,26.541128158569336,,,
2,,349,,403.4337158203125,,-2.761735439300537,,19.78257179260254,,,
2,,359,,614.719482421875,,-3.9711155891418457,,24.424968719482422,,,
2,,369,,396.38836669921875,,-3.9579081535339355,,19.62161636352539,,,
2,,379,,590.2105102539062,,-5.619156837463379,,23.943218231201172,,,
2,,389,,430.8708801269531,,-6.179703712463379,,20.40865135192871,,,
2,,399,,610.3892211914062,,-6.1316375732421875,,24.371604919433594,,,
2,,409,,430.3334045410156,,-2.69050931930542,,20.41061019897461,,,
2,,419,,577.2755126953125,,-11.915416717529297,,23.728389739990234,,,
2,,429,,433.4038391113281,,-3.5340490341186523,,20.501890182495117,,,
2,,439,,498.7729187011719,,-3.389768362045288,,21.919919967651367,,,
2,,440,,,,,,,440.69744873046875,-4.2238335609436035,20.6217041015625
2,,440,521.28857421875,,-5.0765886306762695,,22.43108558654785,,,,
,0.001,441,,,,,,,,,
3,,449,,470.85992431640625,,-5.507511615753174,,21.358583450317383,,,
3,,459,,443.5546875,,-7.7289934158325195,,20.68552017211914,,,
3,,469,,376.84820556640625,,-3.221360683441162,,19.092750549316406,,,
3,,479,,444.3183898925781,,-3.343050956726074,,20.718536376953125,,,
3,,489,,384.4052734375,,-3.44625186920166,,19.284595489501953,,,
3,,499,,266.375,,-2.4359230995178223,,15.983253479003906,,,
3,,509,,415.04150390625,,-3.0939059257507324,,19.96211814880371,,,
3,,519,,349.1385192871094,,-2.3409006595611572,,18.308990478515625,,,
3,,529,,395.318603515625,,-3.7927846908569336,,19.523862838745117,,,
3,,539,,300.8013000488281,,-3.5478806495666504,,17.032699584960938,,,
3,,549,,369.8147277832031,,-2.7129087448120117,,18.889118194580078,,,
3,,559,,338.0860595703125,,-1.877824306488037,,17.933988571166992,,,
3,,569,,266.4967346191406,,-2.5806713104248047,,16.031932830810547,,,
3,,579,,257.65350341796875,,-1.4969863891601562,,15.68712043762207,,,
3,,587,,,,,,,306.5148010253906,-2.5795304775238037,17.1009464263916
3,,587,377.4556884765625,,-3.3674509525299072,,18.959335327148438,,,,
,0.001,588,,,,,,,,,
4,,589,,198.45655822753906,,-1.1240348815917969,,13.700067520141602,,,
4,,599,,250.89224243164062,,-2.5005898475646973,,15.409736633300781,,,
4,,609,,289.3365173339844,,-2.2093119621276855,,16.623374938964844,,,
4,,619,,257.71112060546875,,-2.182985305786133,,15.79232406616211,,,
4,,629,,228.95155334472656,,-1.006304144859314,,14.812620162963867,,,
4,,639,,276.82696533203125,,-1.500877857208252,,16.35915184020996,,,
4,,649,,246.4173583984375,,-2.7721004486083984,,15.471309661865234,,,
4,,659,,315.921142578125,,-1.8271126747131348,,17.362529754638672,,,
4,,669,,205.03628540039062,,-0.6052066683769226,,13.935382843017578,,,
4,,679,,164.5492706298828,,-1.0516469478607178,,12.52858829498291,,,
4,,689,,305.3785705566406,,-1.5536329746246338,,17.036012649536133,,,
4,,699,,196.5692138671875,,-0.6472750306129456,,13.718326568603516,,,
4,,709,,175.790771484375,,-0.8580033183097839,,12.819465637207031,,,
4,,719,,210.0989532470703,,-1.0570212602615356,,14.016178131103516,,,
4,,729,,123.91635131835938,,-0.6682299375534058,,10.69730281829834,,,
