epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,train_r2_epoch,train_r2_step,train_rmse_epoch,train_rmse_step,val_loss,val_r2,val_rmse
,0.001,0,,,,,,,,,
0,,9,,730.9530029296875,,-7.255003452301025,,26.817054748535156,,,
0,,19,,778.4268188476562,,-8.586954116821289,,27.610027313232422,,,
0,,29,,780.4380493164062,,-6.911771297454834,,27.620529174804688,,,
0,,39,,709.9449462890625,,-9.954774856567383,,26.391733169555664,,,
0,,49,,697.9371948242188,,-7.951260566711426,,26.134963989257812,,,
0,,59,,766.0224609375,,-7.769075393676758,,27.379331588745117,,,
0,,69,,745.0203247070312,,-7.092317581176758,,26.997474670410156,,,
0,,73,,,,,,,694.1241455078125,-7.1135663986206055,26.04115867614746
0,,73,732.9111938476562,,-7.25716495513916,,26.750049591064453,,,,
,0.001,74,,,,,,,,,
1,,79,,854.025634765625,,-7.047940254211426,,28.874242782592773,,,
1,,89,,907.51513671875,,-11.453756332397461,,29.742755889892578,,,
1,,99,,654.7070922851562,,-6.417240142822266,,25.271713256835938,,,
1,,109,,718.85400390625,,-7.903744697570801,,26.491657257080078,,,
1,,119,,669.6412963867188,,-6.86577033996582,,25.62015151977539,,,
1,,129,,771.1351928710938,,-8.45296859741211,,27.5241756439209,,,
1,,139,,673.7164916992188,,-7.3067827224731445,,25.66638946533203,,,
1,,147,,,,,,,660.1680908203125,-6.704718112945557,25.383535385131836
1,,147,701.6238403320312,,-6.913802146911621,,26.16023826599121,,,,
,0.001,148,,,,,,,,,
2,,149,,602.1134033203125,,-5.174570560455322,,24.22856903076172,,,
2,,159,,656.887939453125,,-7.069644451141357,,25.33782196044922,,,
2,,169,,711.2809448242188,,-6.733346939086914,,26.38314437866211,,,
2,,179,,760.91064453125,,-6.8397932052612305,,27.265302658081055,,,
2,,189,,574.615234375,,-5.322109222412109,,23.673688888549805,,,
2,,199,,654.2040405273438,,-5.720823287963867,,25.252798080444336,,,
2,,209,,712.171875,,-6.650075912475586,,26.3768367767334,,,
2,,219,,650.3966064453125,,-7.2955474853515625,,25.20965576171875,,,
2,,221,,,,,,,617.1596069335938,-6.198845386505127,24.529033660888672
2,,221,659.3147583007812,,-6.442296981811523,,25.34416389465332,,,,
,0.001,222,,,,,,,,,
3,,229,,707.1002807617188,,-4.589963912963867,,26.2308292388916,,,
3,,239,,472.2293701171875,,-3.6785295009613037,,21.42949104309082,,,
3,,249,,556.6688232421875,,-6.303332328796387,,23.288803100585938,,,
3,,259,,599.9786987304688,,-4.852290630340576,,24.167274475097656,,,
3,,269,,635.2265625,,-5.4558820724487305,,24.878280639648438,,,
3,,279,,567.8560180664062,,-6.836069107055664,,23.539447784423828,,,
3,,289,,717.8411865234375,,-7.222317218780518,,26.462234497070312,,,
3,,295,,,,,,,569.1286010742188,-5.627586841583252,23.540672302246094
3,,295,604.3499755859375,,-5.814959526062012,,24.24524688720703,,,,
,0.001,296,,,,,,,,,
4,,299,,553.275146484375,,-5.203958511352539,,23.2349796295166,,,
4,,309,,593.6643676757812,,-5.620457649230957,,24.04583740234375,,,
4,,319,,511.904541015625,,-5.301756858825684,,22.335899353027344,,,
4,,329,,566.140625,,-6.1778669357299805,,23.476913452148438,,,
4,,339,,646.834228515625,,-4.822958946228027,,25.097684860229492,,,
4,,349,,549.6442260742188,,-4.483278751373291,,23.178421020507812,,,
4,,359,,501.0283203125,,-3.566523551940918,,22.014158248901367,,,
4,,369,,565.1204833984375,,-13.871145248413086,,23.538284301757812,,,
4,,369,,,,,,,479.1575012207031,-4.545804977416992,21.562803268432617
4,,369,541.66259765625,,-5.120871543884277,,22.9246883392334,,,,
,0.001,370,,,,,,,,,
5,,379,,522.872314453125,,-3.482255458831787,,22.554340362548828,,,
5,,389,,480.0260925292969,,-3.6647396087646484,,21.598400115966797,,,
5,,399,,494.689697265625,,-4.318021297454834,,21.92890739440918,,,
5,,409,,503.56500244140625,,-4.846553325653076,,22.130718231201172,,,
5,,419,,515.5896606445312,,-4.491504669189453,,22.391693115234375,,,
5,,429,,527.8427124023438,,-4.503384113311768,,22.601150512695312,,,
5,,439,,345.1882629394531,,-2.980621814727783,,18.272985458374023,,,
5,,443,,,,,,,406.371826171875,-3.6768579483032227,19.819969177246094
5,,443,471.1650085449219,,-4.258945941925049,,21.348342895507812,,,,
,0.001,444,,,,,,,,,
6,,449,,507.24053955078125,,-4.201040267944336,,22.150718688964844,,,
6,,459,,388.7198486328125,,-3.741877317428589,,19.389305114746094,,,
6,,469,,341.6697998046875,,-2.9492602348327637,,18.16322898864746,,,
6,,479,,353.5628356933594,,-3.06520938873291,,18.513391494750977,,,
6,,489,,344.1382751464844,,-2.950371026992798,,18.263145446777344,,,
6,,499,,431.8072204589844,,-4.85360050201416,,20.486705780029297,,,
6,,509,,380.45977783203125,,-3.304748058319092,,19.138916015625,,,
6,,517,,,,,,,335.86773681640625,-2.8360095024108887,17.96681022644043
6,,517,396.5085144042969,,-3.3983843326568604,,19.541643142700195,,,,
,0.001,518,,,,,,,,,
7,,519,,379.3904724121094,,-3.797149419784546,,19.1744441986084,,,
7,,529,,293.02166748046875,,-2.1021597385406494,,16.771623611450195,,,
7,,539,,316.6527099609375,,-2.4458773136138916,,17.365402221679688,,,
7,,549,,315.478515625,,-3.1062216758728027,,17.420207977294922,,,
7,,559,,310.12725830078125,,-2.7253127098083496,,17.2619686126709,,,
7,,569,,263.5201416015625,,-1.593113660812378,,15.931156158447266,,,
7,,579,,246.5206298828125,,-1.6058050394058228,,15.350757598876953,,,
7,,589,,262.0747375488281,,-1.668400526046753,,15.842684745788574,,,
7,,591,,,,,,,261.71539306640625,-1.9507286548614502,15.785553932189941
7,,591,320.4736022949219,,-2.4946205615997314,,17.50979995727539,,,,
,0.001,592,,,,,,,,,
8,,599,,245.96856689453125,,-1.9442142248153687,,15.277423858642578,,,
8,,609,,362.80401611328125,,-1.9861552715301514,,18.577314376831055,,,
8,,619,,256.3968505859375,,-1.6754826307296753,,15.640907287597656,,,
8,,629,,203.12547302246094,,-1.8261951208114624,,13.874818801879883,,,
8,,639,,258.2989501953125,,-1.8501237630844116,,15.69100570678711,,,
8,,649,,232.76644897460938,,-1.5644786357879639,,14.904760360717773,,,
8,,659,,219.6494140625,,-1.6259891986846924,,14.467580795288086,,,
8,,665,,,,,,,202.14833068847656,-1.2543247938156128,13.808408737182617
8,,665,252.94036865234375,,-1.7425988912582397,,15.477972030639648,,,,
,0.001,666,,,,,,,,,
9,,669,,228.74620056152344,,-1.6459012031555176,,14.679413795471191,,,
9,,679,,257.1570129394531,,-1.6129907369613647,,15.691427230834961,,,
